Date,WIKI/GOOG,WIKI/AMZN,WIKI/MCD,WIKI/DIS
2015-01-02,524.81,308.52,85.783316887628,90.586145533267
2015-01-05,513.87,302.19,84.835892306947,89.262379993207
2015-01-06,501.96,295.29,84.992263354244,88.788916405887
2015-01-07,501.1,298.42,86.473189155114,89.697193491767
2015-01-08,502.68,300.46,86.795129546607,90.624795622027
2015-01-09,496.17,296.93,85.737325403129,91.069271642777
2015-01-12,492.55,291.41,85.553359465133,91.272184608772
2015-01-13,496.18,294.74,85.387790120936,91.977548728658
2015-01-14,500.87,293.27,84.201209820861,91.049946598397
2015-01-15,501.79,286.95,84.054037070464,91.165896864679
2015-01-16,508.08,290.74,84.155218336361,91.967886206467
2015-01-20,506.9,289.44,83.520535850275,91.542735230098
2015-01-21,518.04,297.25,83.097414192883,90.991971465256
2015-01-22,534.39,310.32,83.603320522373,91.938898639897
2015-01-23,539.95,312.39,82.379947034698,91.523410185717
2015-01-26,535.21,309.66,83.400957990577,91.764973240473
2015-01-27,518.63,306.75,82.389145331598,90.798721021451
2015-01-28,510.0,303.91,81.662479876513,89.542593136723
2015-01-29,510.66,311.78,85.792515184528,90.074031857185
2015-01-30,534.52,354.53,85.029056541843,87.890301842197
2015-02-02,528.48,364.47,85.093444620142,88.827566494647
2015-02-03,529.24,363.55,86.390404483015,90.924333809924
2015-02-04,522.76,364.75,86.509982342713,97.862024742499
2015-02-05,527.58,373.89,86.776732952807,99.176127760368
2015-02-06,531.0,374.28,86.454792561314,98.577051384574
2015-02-09,527.83,370.56,85.286608855038,98.296838241058
2015-02-10,536.94,372.995,86.482387452013,98.480426162672
2015-02-11,535.97,375.14,86.65715509311,98.432113551721
2015-02-12,542.93,377.17,87.466605220293,100.08440484625
2015-02-13,549.01,381.83,87.981709846682,100.65449365547
2015-02-17,542.84,375.43,86.785931249707,100.60618104452
2015-02-18,539.7,373.37,86.997492078403,100.35495546757
2015-02-19,542.87,378.995,86.63875849931,100.38394303414
2015-02-20,538.95,383.66,86.63875849931,101.0216694987
2015-02-23,531.91,380.14,86.749138062108,101.44682047507
2015-02-24,536.09,378.59,87.365423954395,101.13761976498
2015-02-25,543.87,385.37,90.750397213525,102.0072467621
2015-02-26,555.48,384.8,92.314107686493,101.03133202089
2015-02-27,558.4,380.16,91.748218773934,100.56753095576
2015-03-02,571.34,385.655,92.768674190024,102.31644747219
2015-03-03,573.64,384.61,92.52747563713,102.76092349294
2015-03-04,573.37,382.72,93.000595875499,102.0072467621
2015-03-05,575.33,387.83,91.943032989733,101.48547056383
2015-03-06,567.685,380.09,90.10621324077,100.31630537881
2015-03-09,568.85,378.56,90.644271551072,101.7077085742
2015-03-10,555.01,369.51,89.326956377574,99.610941258927
2015-03-11,551.18,366.37,88.093133010847,99.417690815123
2015-03-12,555.51,374.24,89.289848907898,103.55325031254
2015-03-13,547.32,370.58,89.382617582088,102.84788619265
2015-03-16,554.51,373.35,90.124766975608,103.74650075634
2015-03-17,550.84,371.92,89.215633968546,103.35033734654
2015-03-18,559.5,375.135,89.985613964323,104.32625208775
2015-03-19,557.99,373.24,89.039373487585,103.74650075634
2015-03-20,560.36,378.49,90.031998301418,104.7707281085
2015-03-23,558.81,375.11,91.488466486202,104.56781514251
2015-03-24,570.19,374.09,92.174954675208,103.49527517939
2015-03-25,558.785,370.96,91.04317685009,101.45648299726
2015-03-26,555.17,367.35,90.579333479139,101.68838352982
2015-03-27,548.34,370.56,89.948506494647,101.92028406239
2015-03-30,552.03,374.59,90.801978297196,102.53868548256
2015-03-31,548.0,372.1,90.393796130759,101.35019525317
2015-04-01,542.56,370.255,89.326956377574,101.88163397363
2015-04-02,535.53,372.25,88.9002204763,102.42273521628
2015-04-06,536.765,377.04,89.317679510155,102.06522189524
2015-04-07,537.02,374.41,89.382617582088,101.87197145144
2015-04-08,541.61,381.2,89.846460953038,102.77058601513
2015-04-09,540.78,383.54,89.568154930468,103.16674942493
2015-04-10,540.01,382.65,90.727763357843,103.34067482435
2015-04-13,539.17,382.36,90.393796130759,102.91552384798
2015-04-14,530.39,385.11,90.523672274625,103.06046168083
2015-04-15,532.53,383.45,89.466109388859,103.36966239092
2015-04-16,533.8,386.04,88.71468312792,104.45186487623
2015-04-17,524.05,375.56,88.018918071495,103.0894492474
2015-04-20,535.38,389.51,89.224910835965,104.56781514251
2015-04-21,533.97,391.18,88.009641204076,104.04603894424
2015-04-22,539.365,389.8,90.76487082752,104.29726452118
2015-04-23,547.0,389.99,89.985613964323,105.32149187334
2015-04-24,565.06,445.1,91.59978889523,105.83360554943
2015-04-27,555.37,438.56,89.466109388859,106.44234444741
2015-04-28,553.68,429.31,89.8279072182,106.21044391484
2015-04-29,549.08,429.37,90.004167699161,106.10415617075
2015-04-30,537.34,421.78,89.568154930468,105.05094125202
2015-05-01,537.9,422.87,90.727763357843,106.79019524626
2015-05-04,540.78,423.04,89.17852649887,107.28298387796
2015-05-05,530.8,421.19,89.17852649887,107.07040838977
2015-05-06,524.22,419.1,89.419725051764,106.01719347104
2015-05-07,530.7,426.88,89.781522881105,105.57271745029
2015-05-08,538.22,433.69,91.126668656861,106.39403183646
2015-05-11,535.7,432.85,90.458734202692,104.93499098574
2015-05-12,529.04,431.02,90.866916369129,105.55339240591
2015-05-13,529.62,426.87,90.310304323988,105.50507979496
2015-05-14,538.4,432.28,90.644271551072,106.22010643703
2015-05-15,533.85,426.0,90.9504081759,106.57761975807
2015-05-18,532.3,425.24,90.931854441062,106.60660732464
2015-05-19,537.36,421.71,93.399501174516,106.82884533502
